team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
Detroit Pistons,Boston Celtics,99,111,-12,Pistons,Celtics,0
Washington Wizards,Cleveland Cavaliers,91,114,-23,Wizards,Cavaliers,0
Brooklyn Nets,LA Clippers,116,124,-8,Nets,Clippers,0
Chicago Bulls,San Antonio Spurs,128,104,24,Bulls,Spurs,0
Houston Rockets,Sacramento Kings,120,140,-20,Rockets,Kings,0
Utah Jazz,Dallas Mavericks,111,124,-13,Jazz,Mavericks,0
Golden State Warriors,Oklahoma City Thunder,141,114,27,Warriors,Thunder,0
Portland Trail Blazers,Milwaukee Bucks,108,127,-19,Blazers,Bucks,0
Orlando Magic,New York Knicks,98,102,-4,Magic,Knicks,0
New Orleans Pelicans,Atlanta Hawks,116,107,9,Pelicans,Hawks,0
Brooklyn Nets,Phoenix Suns,112,116,-4,Nets,Suns,0
Memphis Grizzlies,Chicago Bulls,104,89,15,Grizzlies,Bulls,0
Denver Nuggets,Minnesota Timberwolves,146,112,34,Nuggets,Timberwolves,0
Los Angeles Lakers,Oklahoma City Thunder,130,133,-3,Lakers,Thunder,0
Washington Wizards,Charlotte Hornets,118,104,14,Wizards,Hornets,0
Cleveland Cavaliers,Detroit Pistons,113,85,28,Cavaliers,Pistons,0
Boston Celtics,Philadelphia 76ers,106,99,7,Celtics,76ers,0
Toronto Raptors,San Antonio Spurs,112,98,14,Raptors,Spurs,0
Miami Heat,Indiana Pacers,116,111,5,Heat,Pacers,0
Houston Rockets,Sacramento Kings,128,130,-2,Rockets,Kings,0
Utah Jazz,Minnesota Timberwolves,118,143,-25,Jazz,Timberwolves,0
LA Clippers,Dallas Mavericks,104,110,-6,Clippers,Mavericks,0
Portland Trail Blazers,Golden State Warriors,125,122,3,Blazers,Warriors,0
Orlando Magic,Denver Nuggets,115,104,11,Magic,Nuggets,0
Atlanta Hawks,Phoenix Suns,116,107,9,Hawks,Suns,0
Brooklyn Nets,Chicago Bulls,116,105,11,Nets,Bulls,0
Los Angeles Lakers,Milwaukee Bucks,106,115,-9,Lakers,Bucks,0
Indiana Pacers,Phoenix Suns,104,117,-13,Pacers,Suns,0
Philadelphia 76ers,New York Knicks,119,108,11,76ers,Knicks,0
Detroit Pistons,San Antonio Spurs,138,131,7,Pistons,Spurs,0
Toronto Raptors,Utah Jazz,116,122,-6,Raptors,Jazz,0
Boston Celtics,Charlotte Hornets,127,116,11,Celtics,Hornets,0
Miami Heat,Houston Rockets,97,95,2,Heat,Rockets,0
Memphis Grizzlies,Minnesota Timberwolves,128,107,21,Grizzlies,Timberwolves,0
New Orleans Pelicans,Cleveland Cavaliers,107,118,-11,Pelicans,Cavaliers,0
Portland Trail Blazers,Oklahoma City Thunder,129,138,-9,Blazers,Thunder,0
Sacramento Kings,Dallas Mavericks,114,122,-8,Kings,Mavericks,0
LA Clippers,Milwaukee Bucks,106,119,-13,Clippers,Bucks,0
Brooklyn Nets,Philadelphia 76ers,98,101,-3,Nets,76ers,0
Charlotte Hornets,Denver Nuggets,105,119,-14,Hornets,Nuggets,0
Washington Wizards,Indiana Pacers,127,113,14,Wizards,Pacers,0
Orlando Magic,Miami Heat,103,107,-4,Magic,Heat,0
New York Knicks,Utah Jazz,126,120,6,Knicks,Jazz,0
Atlanta Hawks,San Antonio Spurs,125,106,19,Hawks,Spurs,0
Cleveland Cavaliers,Chicago Bulls,97,89,8,Cavaliers,Bulls,0
Golden State Warriors,Los Angeles Lakers,103,109,-6,Warriors,Lakers,0
Sacramento Kings,Dallas Mavericks,133,128,5,Kings,Mavericks,0
Boston Celtics,Memphis Grizzlies,119,109,10,Celtics,Grizzlies,0
Toronto Raptors,Detroit Pistons,119,118,1,Raptors,Pistons,0
Charlotte Hornets,Atlanta Hawks,144,138,6,Hornets,Hawks,0
Cleveland Cavaliers,San Antonio Spurs,117,109,8,Cavaliers,Spurs,0
Philadelphia 76ers,Houston Rockets,123,104,19,76ers,Rockets,0
Indiana Pacers,Utah Jazz,117,123,-6,Pacers,Jazz,0
New York Knicks,Brooklyn Nets,124,106,18,Knicks,Nets,0
Miami Heat,Denver Nuggets,108,112,-4,Heat,Nuggets,0
Chicago Bulls,Orlando Magic,91,100,-9,Bulls,Magic,0
Oklahoma City Thunder,New Orleans Pelicans,100,103,-3,Thunder,Pelicans,0
Dallas Mavericks,Minnesota Timberwolves,121,124,-3,Mavericks,Timberwolves,0
Portland Trail Blazers,Los Angeles Lakers,127,115,12,Blazers,Lakers,0
