team,visitor,tscore,vscore,gamespread,shorthome,shortvis,attendance
New Orleans Pelicans,Portland Trail Blazers,127,110,17,Pelicans,Blazers,0
San Antonio Spurs,Oklahoma City Thunder,90,102,-12,Spurs,Thunder,0
Los Angeles Lakers,New York Knicks,108,112,-4,Lakers,Knicks,0
Detroit Pistons,Indiana Pacers,117,97,20,Pistons,Pacers,0
Dallas Mavericks,Memphis Grizzlies,88,104,-16,Mavericks,Grizzlies,0
Miami Heat,Utah Jazz,119,115,4,Heat,Jazz,0
Atlanta Hawks,Minnesota Timberwolves,115,136,-21,Hawks,Timberwolves,0
Houston Rockets,Boston Celtics,111,109,2,Rockets,Celtics,0
Golden State Warriors,Phoenix Suns,123,112,11,Warriors,Suns,0
Sacramento Kings,Milwaukee Bucks,124,133,-9,Kings,Bucks,0
Charlotte Hornets,Cleveland Cavaliers,104,120,-16,Hornets,Cavaliers,0
Washington Wizards,Detroit Pistons,117,97,20,Wizards,Pistons,0
Toronto Raptors,Denver Nuggets,125,110,15,Raptors,Nuggets,0
San Antonio Spurs,Orlando Magic,132,114,18,Spurs,Magic,0
New Orleans Pelicans,Los Angeles Lakers,108,123,-15,Pelicans,Lakers,0
Oklahoma City Thunder,Brooklyn Nets,121,107,14,Thunder,Nets,0
Portland Trail Blazers,New York Knicks,107,123,-16,Blazers,Knicks,0
Phoenix Suns,Milwaukee Bucks,104,116,-12,Suns,Bucks,0
Cleveland Cavaliers,Philadelphia 76ers,109,118,-9,Cavaliers,76ers,0
Miami Heat,Memphis Grizzlies,138,119,19,Heat,Grizzlies,0
Minnesota Timberwolves,Boston Celtics,102,104,-2,Timberwolves,Celtics,0
Chicago Bulls,Sacramento Kings,114,117,-3,Bulls,Kings,0
Houston Rockets,Los Angeles Lakers,114,110,4,Rockets,Lakers,0
San Antonio Spurs,Dallas Mavericks,128,137,-9,Spurs,Mavericks,0
LA Clippers,Golden State Warriors,134,126,8,Clippers,Warriors,0
Detroit Pistons,Denver Nuggets,100,119,-19,Pistons,Nuggets,0
Brooklyn Nets,Sacramento Kings,96,101,-5,Nets,Kings,0
Toronto Raptors,Oklahoma City Thunder,128,111,17,Raptors,Thunder,0
Milwaukee Bucks,Indiana Pacers,123,139,-16,Bucks,Pacers,0
Phoenix Suns,Orlando Magic,116,113,3,Suns,Magic,0
Charlotte Hornets,Philadelphia 76ers,82,121,-39,Hornets,76ers,0
Atlanta Hawks,Golden State Warriors,127,119,8,Hawks,Warriors,0
Cleveland Cavaliers,Washington Wizards,117,94,23,Cavaliers,Wizards,0
Houston Rockets,New Orleans Pelicans,114,112,2,Rockets,Pelicans,0
San Antonio Spurs,Memphis Grizzlies,120,126,-6,Spurs,Grizzlies,0
Chicago Bulls,Minnesota Timberwolves,139,131,8,Bulls,Timberwolves,0
Portland Trail Blazers,Boston Celtics,112,126,-14,Blazers,Celtics,0
Los Angeles Lakers,Dallas Mavericks,110,111,-1,Lakers,Mavericks,0
New York Knicks,Denver Nuggets,116,110,6,Knicks,Nuggets,0
LA Clippers,Orlando Magic,108,113,-5,Clippers,Magic,0
Indiana Pacers,Philadelphia 76ers,121,141,-20,Pacers,76ers,0
Toronto Raptors,Minnesota Timberwolves,122,107,15,Raptors,Timberwolves,0
Washington Wizards,Sacramento Kings,118,132,-14,Wizards,Kings,0
Memphis Grizzlies,Golden State Warriors,133,119,14,Grizzlies,Warriors,0
Chicago Bulls,Miami Heat,113,99,14,Bulls,Heat,0
Utah Jazz,Boston Celtics,118,117,1,Jazz,Celtics,0
Brooklyn Nets,Denver Nuggets,102,108,-6,Nets,Nuggets,0
Oklahoma City Thunder,Phoenix Suns,124,120,4,Thunder,Suns,0
San Antonio Spurs,Atlanta Hawks,126,118,8,Spurs,Hawks,0
Detroit Pistons,Miami Heat,100,112,-12,Pistons,Heat,0
Houston Rockets,New Orleans Pelicans,107,117,-10,Rockets,Pelicans,0
Milwaukee Bucks,Toronto Raptors,118,111,7,Bucks,Raptors,0
Portland Trail Blazers,LA Clippers,102,117,-15,Blazers,Clippers,0
Los Angeles Lakers,Orlando Magic,111,105,6,Lakers,Magic,0
Charlotte Hornets,Indiana Pacers,115,109,6,Hornets,Pacers,0
Philadelphia 76ers,Chicago Bulls,105,109,-4,76ers,Bulls,0
New York Knicks,Minnesota Timberwolves,134,140,-6,Knicks,Timberwolves,0
Houston Rockets,Golden State Warriors,108,121,-13,Rockets,Warriors,0
Memphis Grizzlies,Dallas Mavericks,112,108,4,Grizzlies,Mavericks,0
Utah Jazz,Sacramento Kings,128,120,8,Jazz,Kings,0
Orlando Magic,Washington Wizards,122,112,10,Magic,Wizards,0
Atlanta Hawks,Detroit Pistons,129,107,22,Hawks,Pistons,0
Brooklyn Nets,Cleveland Cavaliers,109,115,-6,Nets,Cavaliers,0
New Orleans Pelicans,San Antonio Spurs,119,84,35,Pelicans,Spurs,0
Sacramento Kings,Boston Celtics,109,132,-23,Kings,Celtics,0
LA Clippers,Oklahoma City Thunder,100,101,-1,Clippers,Thunder,0
Washington Wizards,Denver Nuggets,104,118,-14,Wizards,Nuggets,0
Dallas Mavericks,Golden State Warriors,125,127,-2,Mavericks,Warriors,0
Toronto Raptors,Indiana Pacers,114,118,-4,Raptors,Pacers,0
Miami Heat,New York Knicks,127,120,7,Heat,Knicks,0
Milwaukee Bucks,San Antonio Spurs,130,94,36,Bucks,Spurs,0
Memphis Grizzlies,Houston Rockets,130,125,5,Grizzlies,Rockets,0
Chicago Bulls,Philadelphia 76ers,91,116,-25,Bulls,76ers,0
Minnesota Timberwolves,Atlanta Hawks,125,124,1,Timberwolves,Hawks,0
Utah Jazz,Portland Trail Blazers,115,127,-12,Jazz,Blazers,0
Los Angeles Lakers,Phoenix Suns,122,111,11,Lakers,Suns,0
Orlando Magic,New York Knicks,111,106,5,Magic,Knicks,0
Brooklyn Nets,Cleveland Cavaliers,114,116,-2,Nets,Cavaliers,0
New Orleans Pelicans,Charlotte Hornets,115,96,19,Pelicans,Hornets,0
LA Clippers,Oklahoma City Thunder,127,105,22,Clippers,Thunder,0
Washington Wizards,San Antonio Spurs,136,124,12,Wizards,Spurs,0
Boston Celtics,Indiana Pacers,120,95,25,Celtics,Pacers,0
Toronto Raptors,Detroit Pistons,118,97,21,Raptors,Pistons,0
Memphis Grizzlies,Houston Rockets,151,114,37,Grizzlies,Rockets,0
Dallas Mavericks,Charlotte Hornets,109,117,-8,Mavericks,Hornets,0
Utah Jazz,Milwaukee Bucks,116,144,-28,Jazz,Bucks,0
Golden State Warriors,Philadelphia 76ers,120,112,8,Warriors,76ers,0
Sacramento Kings,Phoenix Suns,135,127,8,Kings,Suns,0
Portland Trail Blazers,Chicago Bulls,96,124,-28,Blazers,Bulls,0
Los Angeles Lakers,Oklahoma City Thunder,116,111,5,Lakers,Thunder,0
Atlanta Hawks,Indiana Pacers,143,130,13,Hawks,Pacers,0
Miami Heat,Brooklyn Nets,100,129,-29,Heat,Nets,0
Denver Nuggets,Milwaukee Bucks,129,106,23,Nuggets,Bucks,0
Sacramento Kings,Utah Jazz,121,113,8,Kings,Jazz,0
Phoenix Suns,Philadelphia 76ers,125,105,20,Suns,76ers,0
LA Clippers,New Orleans Pelicans,110,131,-21,Clippers,Pelicans,0
Charlotte Hornets,Dallas Mavericks,110,104,6,Hornets,Mavericks,0
Los Angeles Lakers,Chicago Bulls,108,118,-10,Lakers,Bulls,0
Cleveland Cavaliers,Houston Rockets,108,91,17,Cavaliers,Rockets,0
Toronto Raptors,Washington Wizards,114,104,10,Raptors,Wizards,0
Boston Celtics,San Antonio Spurs,137,93,44,Celtics,Spurs,0
Atlanta Hawks,Memphis Grizzlies,119,123,-4,Hawks,Grizzlies,0
Orlando Magic,Brooklyn Nets,119,106,13,Magic,Nets,0
Portland Trail Blazers,Oklahoma City Thunder,112,118,-6,Blazers,Thunder,0
Golden State Warriors,Minnesota Timberwolves,96,99,-3,Warriors,Timberwolves,0
Indiana Pacers,Dallas Mavericks,104,127,-23,Pacers,Mavericks,0
Detroit Pistons,Milwaukee Bucks,117,126,-9,Pistons,Bucks,0
New York Knicks,Houston Rockets,137,115,22,Knicks,Rockets,0
Utah Jazz,Phoenix Suns,103,117,-14,Jazz,Suns,0
Denver Nuggets,Philadelphia 76ers,116,111,5,Nuggets,76ers,0
Portland Trail Blazers,New Orleans Pelicans,90,124,-34,Blazers,Pelicans,0
Sacramento Kings,Minnesota Timberwolves,115,119,-4,Kings,Timberwolves,0
LA Clippers,Chicago Bulls,124,112,12,Clippers,Bulls,0
Washington Wizards,Boston Celtics,130,111,19,Wizards,Celtics,0
Atlanta Hawks,Cleveland Cavaliers,120,118,2,Hawks,Cavaliers,0
Toronto Raptors,Miami Heat,106,92,14,Raptors,Heat,0
Memphis Grizzlies,Orlando Magic,113,108,5,Grizzlies,Magic,0
Oklahoma City Thunder,Charlotte Hornets,134,137,-3,Thunder,Hornets,0
Golden State Warriors,New Orleans Pelicans,120,109,11,Warriors,Pelicans,0
Indiana Pacers,Milwaukee Bucks,136,149,-13,Pacers,Bucks,0
Brooklyn Nets,Houston Rockets,123,114,9,Nets,Rockets,0
Philadelphia 76ers,Dallas Mavericks,116,108,8,76ers,Mavericks,0
New York Knicks,Miami Heat,101,92,9,Knicks,Heat,0
Chicago Bulls,Los Angeles Lakers,110,121,-11,Bulls,Lakers,0
San Antonio Spurs,Utah Jazz,117,128,-11,Spurs,Jazz,0
Memphis Grizzlies,LA Clippers,132,141,-9,Grizzlies,Clippers,0
Oklahoma City Thunder,Detroit Pistons,107,106,1,Thunder,Pistons,0
Portland Trail Blazers,Sacramento Kings,80,120,-40,Blazers,Kings,0
Phoenix Suns,Minnesota Timberwolves,107,100,7,Suns,Timberwolves,0
Milwaukee Bucks,Boston Celtics,99,140,-41,Bucks,Celtics,0
Denver Nuggets,New Orleans Pelicans,88,107,-19,Nuggets,Pelicans,0
Charlotte Hornets,Chicago Bulls,91,121,-30,Hornets,Bulls,0
Philadelphia 76ers,Toronto Raptors,117,110,7,76ers,Raptors,0
Washington Wizards,Orlando Magic,109,116,-7,Wizards,Magic,0
Indiana Pacers,Oklahoma City Thunder,121,117,4,Pacers,Thunder,0
Cleveland Cavaliers,New York Knicks,116,130,-14,Cavaliers,Knicks,0
Brooklyn Nets,Atlanta Hawks,124,107,17,Nets,Hawks,0
Boston Celtics,Utah Jazz,122,114,8,Celtics,Jazz,0
Minnesota Timberwolves,Los Angeles Lakers,111,123,-12,Timberwolves,Lakers,0
Houston Rockets,Detroit Pistons,121,115,6,Rockets,Pistons,0
Memphis Grizzlies,LA Clippers,108,94,14,Grizzlies,Clippers,0
Portland Trail Blazers,Sacramento Kings,114,138,-24,Blazers,Kings,0
Golden State Warriors,San Antonio Spurs,130,115,15,Warriors,Spurs,0
Phoenix Suns,Denver Nuggets,100,93,7,Suns,Nuggets,0
Miami Heat,Dallas Mavericks,129,122,7,Heat,Mavericks,0
New Orleans Pelicans,LA Clippers,122,114,8,Pelicans,Clippers,0
Charlotte Hornets,Toronto Raptors,108,128,-20,Hornets,Raptors,0
Minnesota Timberwolves,Portland Trail Blazers,105,107,-2,Timberwolves,Blazers,0
Brooklyn Nets,Utah Jazz,111,110,1,Nets,Jazz,0
Chicago Bulls,Memphis Grizzlies,128,107,21,Bulls,Grizzlies,0
New York Knicks,Washington Wizards,118,109,9,Knicks,Wizards,0
Orlando Magic,Detroit Pistons,128,102,26,Magic,Pistons,0
Sacramento Kings,San Antonio Spurs,134,142,-8,Kings,Spurs,0
Atlanta Hawks,Dallas Mavericks,132,130,2,Hawks,Mavericks,0
Houston Rockets,Los Angeles Lakers,109,134,-25,Rockets,Lakers,0
Oklahoma City Thunder,Phoenix Suns,118,128,-10,Thunder,Suns,0
Cleveland Cavaliers,Indiana Pacers,115,105,10,Cavaliers,Pacers,0
Milwaukee Bucks,Philadelphia 76ers,117,104,13,Bucks,76ers,0
Denver Nuggets,Golden State Warriors,112,110,2,Nuggets,Warriors,0
Orlando Magic,Cleveland Cavaliers,113,117,-4,Magic,Cavaliers,0
Charlotte Hornets,Toronto Raptors,100,120,-20,Hornets,Raptors,0
Washington Wizards,Milwaukee Bucks,128,140,-12,Wizards,Bucks,0
Detroit Pistons,Miami Heat,105,118,-13,Pistons,Heat,0
Brooklyn Nets,Minnesota Timberwolves,102,107,-5,Nets,Timberwolves,0
Houston Rockets,Denver Nuggets,124,103,21,Rockets,Nuggets,0
Chicago Bulls,Atlanta Hawks,105,123,-18,Bulls,Hawks,0
Memphis Grizzlies,Portland Trail Blazers,119,109,10,Grizzlies,Blazers,0
Philadelphia 76ers,Boston Celtics,103,101,2,76ers,Celtics,0
New Orleans Pelicans,Sacramento Kings,103,121,-18,Pelicans,Kings,0
Utah Jazz,Los Angeles Lakers,133,135,-2,Jazz,Lakers,0
Golden State Warriors,Oklahoma City Thunder,136,125,11,Warriors,Thunder,0
Phoenix Suns,San Antonio Spurs,115,94,21,Suns,Spurs,0
Indiana Pacers,New York Knicks,129,138,-9,Pacers,Knicks,0
Detroit Pistons,Brooklyn Nets,108,123,-15,Pistons,Nets,0
Atlanta Hawks,Washington Wizards,134,116,18,Hawks,Wizards,0
Milwaukee Bucks,Chicago Bulls,105,92,13,Bucks,Bulls,0
Boston Celtics,Toronto Raptors,97,93,4,Celtics,Raptors,0
New Orleans Pelicans,Memphis Grizzlies,138,131,7,Pelicans,Grizzlies,0
Dallas Mavericks,Sacramento Kings,123,119,4,Mavericks,Kings,0
LA Clippers,Los Angeles Lakers,125,118,7,Clippers,Lakers,0
Orlando Magic,Cleveland Cavaliers,94,118,-24,Magic,Cavaliers,0
Philadelphia 76ers,Miami Heat,101,129,-28,76ers,Heat,0
San Antonio Spurs,Portland Trail Blazers,129,127,2,Spurs,Blazers,0
Utah Jazz,Oklahoma City Thunder,98,114,-16,Jazz,Thunder,0
Phoenix Suns,Denver Nuggets,119,115,4,Suns,Nuggets,0
Charlotte Hornets,Houston Rockets,109,112,-3,Hornets,Rockets,0
Washington Wizards,Miami Heat,114,108,6,Wizards,Heat,0
Indiana Pacers,Detroit Pistons,115,122,-7,Pacers,Pistons,0
Brooklyn Nets,Orlando Magic,101,84,17,Nets,Magic,0
Boston Celtics,Toronto Raptors,121,102,19,Celtics,Raptors,0
Atlanta Hawks,Philadelphia 76ers,131,136,-5,Hawks,76ers,0
Milwaukee Bucks,Memphis Grizzlies,114,137,-23,Bucks,Grizzlies,0
New Orleans Pelicans,New York Knicks,113,105,8,Pelicans,Knicks,0
Dallas Mavericks,Chicago Bulls,112,115,-3,Mavericks,Bulls,0
Sacramento Kings,Golden State Warriors,97,119,-22,Kings,Warriors,0
Los Angeles Lakers,Phoenix Suns,121,107,14,Lakers,Suns,0
Utah Jazz,Denver Nuggets,118,114,4,Jazz,Nuggets,0
LA Clippers,Portland Trail Blazers,136,125,11,Clippers,Blazers,0
San Antonio Spurs,Minnesota Timberwolves,131,151,-20,Spurs,Timberwolves,0
New York Knicks,Indiana Pacers,136,141,-5,Knicks,Pacers,0
Cleveland Cavaliers,Charlotte Hornets,95,106,-11,Cavaliers,Hornets,0
Toronto Raptors,Milwaukee Bucks,121,105,16,Raptors,Bucks,0
Washington Wizards,Houston Rockets,109,114,-5,Wizards,Rockets,0
Brooklyn Nets,Philadelphia 76ers,105,134,-29,Nets,76ers,0
Boston Celtics,Atlanta Hawks,120,114,6,Celtics,Hawks,0
Chicago Bulls,Detroit Pistons,103,81,22,Bulls,Pistons,0
Miami Heat,Orlando Magic,123,110,13,Heat,Magic,0
Los Angeles Lakers,Utah Jazz,128,117,11,Lakers,Jazz,0
Dallas Mavericks,San Antonio Spurs,117,138,-21,Mavericks,Spurs,0
Oklahoma City Thunder,Memphis Grizzlies,115,100,15,Thunder,Grizzlies,0
Denver Nuggets,Sacramento Kings,109,95,14,Nuggets,Kings,0
Phoenix Suns,LA Clippers,114,119,-5,Suns,Clippers,0
Portland Trail Blazers,Golden State Warriors,101,157,-56,Blazers,Warriors,0
Minnesota Timberwolves,New Orleans Pelicans,113,108,5,Timberwolves,Pelicans,0
Miami Heat,Atlanta Hawks,105,116,-11,Heat,Hawks,0
Los Angeles Lakers,Minnesota Timberwolves,108,102,6,Lakers,Timberwolves,0
Toronto Raptors,Chicago Bulls,105,109,-4,Raptors,Bulls,0
New Orleans Pelicans,Oklahoma City Thunder,118,123,-5,Pelicans,Thunder,0
Miami Heat,Chicago Bulls,102,91,11,Heat,Bulls,0
Minnesota Timberwolves,Oklahoma City Thunder,120,95,25,Timberwolves,Thunder,0
Philadelphia 76ers,Brooklyn Nets,121,101,20,76ers,Nets,0
Boston Celtics,Atlanta Hawks,112,99,13,Celtics,Hawks,0
Cleveland Cavaliers,New York Knicks,97,101,-4,Cavaliers,Knicks,0
Sacramento Kings,Golden State Warriors,126,123,3,Kings,Warriors,0
Memphis Grizzlies,Los Angeles Lakers,112,128,-16,Grizzlies,Lakers,0
Milwaukee Bucks,Miami Heat,117,130,-13,Bucks,Heat,0
Phoenix Suns,LA Clippers,110,115,-5,Suns,Clippers,0
Denver Nuggets,Minnesota Timberwolves,109,80,29,Nuggets,Timberwolves,0
Philadelphia 76ers,Brooklyn Nets,96,84,12,76ers,Nets,0
Sacramento Kings,Golden State Warriors,114,106,8,Kings,Warriors,0
Boston Celtics,Atlanta Hawks,119,106,13,Celtics,Hawks,0
Cleveland Cavaliers,New York Knicks,107,90,17,Cavaliers,Knicks,0
Phoenix Suns,LA Clippers,123,109,14,Suns,Clippers,0
Memphis Grizzlies,Los Angeles Lakers,103,93,10,Grizzlies,Lakers,0
Milwaukee Bucks,Miami Heat,138,122,16,Bucks,Heat,0
Denver Nuggets,Minnesota Timberwolves,122,113,9,Nuggets,Timberwolves,0
Brooklyn Nets,Philadelphia 76ers,97,102,-5,Nets,76ers,0
Golden State Warriors,Sacramento Kings,114,97,17,Warriors,Kings,0
LA Clippers,Phoenix Suns,124,129,-5,Clippers,Suns,0
Atlanta Hawks,Boston Celtics,130,122,8,Hawks,Celtics,0
New York Knicks,Cleveland Cavaliers,99,79,20,Knicks,Cavaliers,0
Minnesota Timberwolves,Denver Nuggets,111,120,-9,Timberwolves,Nuggets,0
Brooklyn Nets,Philadelphia 76ers,88,96,-8,Nets,76ers,0
LA Clippers,Phoenix Suns,100,112,-12,Clippers,Suns,0
Miami Heat,Milwaukee Bucks,121,99,22,Heat,Bucks,0
Los Angeles Lakers,Memphis Grizzlies,111,101,10,Lakers,Grizzlies,0
New York Knicks,Cleveland Cavaliers,102,93,9,Knicks,Cavaliers,0
Golden State Warriors,Sacramento Kings,126,125,1,Warriors,Kings,0
Atlanta Hawks,Boston Celtics,121,129,-8,Hawks,Celtics,0
Minnesota Timberwolves,Denver Nuggets,114,108,6,Timberwolves,Nuggets,0
Philadelphia 76ers,Brooklyn Nets,N/A,N/A,#VALUE!,76ers,Nets,0
Miami Heat,Milwaukee Bucks,119,114,5,Heat,Bucks,0
Los Angeles Lakers,Memphis Grizzlies,117,111,6,Lakers,Grizzlies,0
Boston Celtics,Atlanta Hawks,117,119,-2,Celtics,Hawks,0
Denver Nuggets,Minnesota Timberwolves,112,109,3,Nuggets,Timberwolves,0
Phoenix Suns,LA Clippers,136,130,6,Suns,Clippers,0
Cleveland Cavaliers,New York Knicks,95,106,-11,Cavaliers,Knicks,0
Memphis Grizzlies,Los Angeles Lakers,116,99,17,Grizzlies,Lakers,0
Milwaukee Bucks,Miami Heat,126,128,-2,Bucks,Heat,0
Sacramento Kings,Golden State Warriors,116,123,-7,Kings,Warriors,0
Brooklyn Nets,Philadelphia 76ers,N/A,N/A,#VALUE!,Nets,76ers,0
Minnesota Timberwolves,Denver Nuggets,N/A,N/A,#VALUE!,Timberwolves,Nuggets,0
LA Clippers,Phoenix Suns,N/A,N/A,#VALUE!,Clippers,Suns,0
Atlanta Hawks,Boston Celtics,120,128,-8,Hawks,Celtics,0
New York Knicks,Cleveland Cavaliers,N/A,N/A,#VALUE!,Knicks,Cavaliers,0
Miami Heat,Milwaukee Bucks,N/A,N/A,#VALUE!,Heat,Bucks,0
Golden State Warriors,Sacramento Kings,99,118,-19,Warriors,Kings,0
Los Angeles Lakers,Memphis Grizzlies,125,85,40,Lakers,Grizzlies,0
Denver Nuggets,Minnesota Timberwolves,N/A,N/A,#VALUE!,Nuggets,Timberwolves,0
Phoenix Suns,LA Clippers,N/A,N/A,#VALUE!,Suns,Clippers,0
Philadelphia 76ers,Brooklyn Nets,N/A,N/A,#VALUE!,76ers,Nets,0
Boston Celtics,Atlanta Hawks,N/A,N/A,#VALUE!,Celtics,Hawks,0
Denver Nuggets,Phoenix Suns,125,107,18,Nuggets,Suns,0
Cleveland Cavaliers,New York Knicks,N/A,N/A,#VALUE!,Cavaliers,Knicks,0
New York Knicks,Miami Heat,101,108,-7,Knicks,Heat,0
Memphis Grizzlies,Los Angeles Lakers,N/A,N/A,#VALUE!,Grizzlies,Lakers,0
Milwaukee Bucks,Miami Heat,N/A,N/A,#VALUE!,Bucks,Heat,0
Sacramento Kings,Golden State Warriors,100,120,-20,Kings,Warriors,0
Boston Celtics,Philadelphia 76ers,115,119,-4,Celtics,76ers,0
Denver Nuggets,Phoenix Suns,97,87,10,Nuggets,Suns,0
New York Knicks,Miami Heat,111,105,6,Knicks,Heat,0
Golden State Warriors,Los Angeles Lakers,112,117,-5,Warriors,Lakers,0
Boston Celtics,Philadelphia 76ers,121,87,34,Celtics,76ers,0
Golden State Warriors,Los Angeles Lakers,127,100,27,Warriors,Lakers,0
Philadelphia 76ers,Boston Celtics,102,114,-12,76ers,Celtics,0
Phoenix Suns,Denver Nuggets,121,114,7,Suns,Nuggets,0
Miami Heat,New York Knicks,105,86,19,Heat,Knicks,0
Los Angeles Lakers,Golden State Warriors,127,97,30,Lakers,Warriors,0
Philadelphia 76ers,Boston Celtics,116,115,1,76ers,Celtics,0
Phoenix Suns,Denver Nuggets,129,124,5,Suns,Nuggets,0
Miami Heat,New York Knicks,109,101,8,Heat,Knicks,0
Los Angeles Lakers,Golden State Warriors,104,101,3,Lakers,Warriors,0
Boston Celtics,Philadelphia 76ers,103,115,-12,Celtics,76ers,0
Denver Nuggets,Phoenix Suns,118,102,16,Nuggets,Suns,0
New York Knicks,Miami Heat,112,103,9,Knicks,Heat,0
Golden State Warriors,Los Angeles Lakers,121,106,15,Warriors,Lakers,0
Philadelphia 76ers,Boston Celtics,86,95,-9,76ers,Celtics,0
Phoenix Suns,Denver Nuggets,100,125,-25,Suns,Nuggets,0
Miami Heat,New York Knicks,96,92,4,Heat,Knicks,0
Los Angeles Lakers,Golden State Warriors,122,101,21,Lakers,Warriors,0
Golden State Warriors,Los Angeles Lakers,N/A,N/A,#VALUE!,Warriors,Lakers,0
Denver Nuggets,Phoenix Suns,N/A,N/A,#VALUE!,Nuggets,Suns,0
Boston Celtics,Philadelphia 76ers,112,88,24,Celtics,76ers,0
New York Knicks,Miami Heat,N/A,N/A,#VALUE!,Knicks,Heat,0
Denver Nuggets,Los Angeles Lakers,132,126,6,Nuggets,Lakers,0
Boston Celtics,Miami Heat,116,123,-7,Celtics,Heat,0
Denver Nuggets,Los Angeles Lakers,108,103,5,Nuggets,Lakers,0
Boston Celtics,Miami Heat,105,111,-6,Celtics,Heat,0
Los Angeles Lakers,Denver Nuggets,108,119,-11,Lakers,Nuggets,0
Miami Heat,Boston Celtics,128,102,26,Heat,Celtics,0
Los Angeles Lakers,Denver Nuggets,111,113,-2,Lakers,Nuggets,0
Miami Heat,Boston Celtics,99,116,-17,Heat,Celtics,0
Denver Nuggets,Los Angeles Lakers,N/A,N/A,#VALUE!,Nuggets,Lakers,0
Boston Celtics,Miami Heat,110,97,13,Celtics,Heat,0
Los Angeles Lakers,Denver Nuggets,N/A,N/A,#VALUE!,Lakers,Nuggets,0
Miami Heat,Boston Celtics,103,104,-1,Heat,Celtics,0
Denver Nuggets,Los Angeles Lakers,N/A,N/A,#VALUE!,Nuggets,Lakers,0
Boston Celtics,Miami Heat,84,103,-19,Celtics,Heat,0
Denver Nuggets,Miami Heat,104,93,11,Nuggets,Heat,0
Denver Nuggets,Miami Heat,108,111,-3,Nuggets,Heat,0
Miami Heat,Denver Nuggets,94,109,-15,Heat,Nuggets,0
Miami Heat,Denver Nuggets,95,108,-13,Heat,Nuggets,0
Denver Nuggets,Miami Heat,94,89,5,Nuggets,Heat,0
Miami Heat,Denver Nuggets,N/A,N/A,#VALUE!,Heat,Nuggets,0
Denver Nuggets,Miami Heat,N/A,N/A,#VALUE!,Nuggets,Heat,0
Minnesota Timberwolves,Dallas Mavericks,111,99,12,Timberwolves,Mavericks,0
Dallas Mavericks,Minnesota Timberwolves,96,104,-8,Mavericks,Timberwolves,0
Golden State Warriors,Los Angeles Lakers,125,108,17,Warriors,Lakers,0
Milwaukee Bucks,Chicago Bulls,105,102,3,Bucks,Bulls,0
Detroit Pistons,Phoenix Suns,126,130,-4,Pistons,Suns,0
Boston Celtics,Philadelphia 76ers,114,106,8,Celtics,76ers,0
Toronto Raptors,Sacramento Kings,112,99,13,Raptors,Kings,0
Memphis Grizzlies,Indiana Pacers,127,122,5,Grizzlies,Pacers,0
LA Clippers,Utah Jazz,96,101,-5,Clippers,Jazz,0
New York Knicks,Boston Celtics,114,107,7,Knicks,Celtics,0
Oklahoma City Thunder,San Antonio Spurs,122,121,1,Thunder,Spurs,0
Los Angeles Lakers,Brooklyn Nets,129,126,3,Lakers,Nets,0
Washington Wizards,Cairns Taipans,145,82,63,Wizards,Taipans,0
Miami Heat,Charlotte Hornets,113,109,4,Heat,Hornets,0
Atlanta Hawks,Cleveland Cavaliers,108,107,1,Hawks,Cavaliers,0
New Orleans Pelicans,Orlando Magic,105,122,-17,Pelicans,Magic,0
Memphis Grizzlies,Milwaukee Bucks,108,102,6,Grizzlies,Bucks,0
Houston Rockets,Indiana Pacers,122,103,19,Rockets,Pacers,0
Phoenix Suns,Denver Nuggets,107,115,-8,Suns,Nuggets,0
Portland Trail Blazers,New Zealand Breakers,106,66,40,Blazers,Breakers,0
LA Clippers,Utah Jazz,103,98,5,Clippers,Jazz,0
Philadelphia 76ers,Boston Celtics,101,112,-11,76ers,Celtics,0
Los Angeles Lakers,Sacramento Kings,109,101,8,Lakers,Kings,0
Cleveland Cavaliers,Orlando Magic,105,108,-3,Cavaliers,Magic,0
Oklahoma City Thunder,Detroit Pistons,125,128,-3,Thunder,Pistons,0
Washington Wizards,Charlotte Hornets,98,92,6,Wizards,Hornets,0
Atlanta Hawks,Memphis Grizzlies,103,102,1,Hawks,Grizzlies,0
Brooklyn Nets,Maccabi Ra'anana,135,103,32,Nets,Ra'anana,0
New Orleans Pelicans,Houston Rockets,87,120,-33,Pelicans,Rockets,0
Chicago Bulls,Denver Nuggets,133,124,9,Bulls,Nuggets,0
Portland Trail Blazers,Phoenix Suns,111,122,-11,Blazers,Suns,0
San Antonio Spurs,Miami Heat,120,104,16,Spurs,Heat,0
Los Angeles Lakers,Golden State Warriors,125,129,-4,Lakers,Warriors,0
Atlanta Hawks,New Orleans Pelicans,110,105,5,Hawks,Pelicans,0
New York Knicks,Minnesota Timberwolves,112,121,-9,Knicks,Timberwolves,0
Utah Jazz,Portland Trail Blazers,138,133,5,Jazz,Blazers,0
Charlotte Hornets,Oklahoma City Thunder,117,115,2,Hornets,Thunder,0
Toronto Raptors,Cairns Taipans,134,93,41,Raptors,Taipans,0
Miami Heat,Memphis Grizzlies,132,124,8,Heat,Grizzlies,0
Los Angeles Lakers,Milwaukee Bucks,97,108,-11,Lakers,Bucks,0
Denver Nuggets,Chicago Bulls,116,102,14,Nuggets,Bulls,0
Sacramento Kings,Golden State Warriors,115,121,-6,Kings,Warriors,0
